transaction_id,customer_id,date,product_id,quantity,unit_price,discount_applied
1,273,2023-11-17,34,4,229.71,0.0
2,6,2023-03-25,4,1,77.41,0.1
3,147,2023-11-22,61,8,392.95,0.0
4,184,2023-08-12,89,8,61.1,0.0
5,998,2023-05-09,70,2,487.84,0.0
6,28,2023-12-16,92,9,895.35,0.0
7,962,2023-01-16,9,3,541.69,0.2
8,550,2023-10-01,52,3,659.29,0.0
9,119,2023-03-18,82,4,881.05,0.0
10,293,2023-10-27,31,7,143.07,0.0
11,371,2023-11-02,86,2,555.64,0.1
12,244,2023-04-02,68,2,366.84,0.0
13,580,2023-09-27,33,9,589.85,0.0
14,726,2023-02-21,100,4,138.3,0.1
15,218,2023-12-15,59,7,365.83,0.0
16,177,2023-05-01,35,9,708.19,0.0
17,299,2023-02-19,13,7,576.39,0.3
18,676,2023-09-30,79,5,745.68,0.0
19,58,2023-04-30,61,1,453.0,0.0
20,269,2023-04-05,97,9,177.59,0.3
21,308,2023-05-29,92,8,237.62,0.0
22,570,2023-10-16,48,5,771.13,0.2
23,288,2023-09-14,98,9,358.06,0.0
24,977,2023-07-03,38,8,413.44,0.0
25,105,2023-09-17,65,4,83387.0,0.0
26,228,2023-05-30,54,2,226.57,0.0
27,247,2023-07-24,31,9,816.06,0.2
28,700,2023-06-21,49,9,127.44,0.0
29,494,2023-11-09,81,7,154.34,0.0
30,83,2023-08-10,22,8,361.96,0.0
31,186,2023-06-17,96,4,821.86,0.0
32,252,2023-09-01,29,4,727.2,0.0
33,355,2023-08-06,65,1,76646.0,0.0
34,750,2023-02-25,48,9,196.34,0.0
35,872,2023-03-04,92,9,977.13,0.0
36,696,2023-04-13,66,5,104.45,0.0
37,796,2023-06-16,25,7,116.1,0.0
38,897,2023-01-07,21,3,365.9,0.0
39,938,2023-05-22,26,8,534.49,0.0
40,210,2023-05-05,1,9,755.01,0.0
41,816,2023-03-31,32,8,664.49,0.0
42,808,2023-11-07,73,5,888.54,0.0
43,609,2023-08-04,46,6,603.05,0.0
44,447,2023-05-03,5,3,82.03,0.2
45,460,2023-07-05,40,3,474.61,0.0
46,968,2023-06-02,17,7,773.93,0.1
47,472,2023-09-06,53,9,488.13,0.3
48,720,2023-04-24,93,9,136.18,0.0
49,370,2023-04-06,83,2,70278.0,0.0
50,900,2023-07-17,29,7,731.88,0.0
51,934,2023-12-02,76,8,76388.0,0.1
52,492,2023-01-03,8,1,351.05,0.2
53,923,2023-05-29,43,4,68777.0,0.2
54,137,2023-04-21,95,9,739.64,0.0
55,367,2023-01-20,15,9,393.06,0.0
56,912,2023-07-22,34,5,422.37,0.1
57,184,2023-07-01,90,7,497.64,0.1
58,588,2023-11-27,35,6,614.56,0.0
59,287,2023-08-15,93,4,309.54,0.2
60,472,2023-10-19,33,7,171.4,0.1
61,375,2023-12-24,97,3,254.08,0.1
62,654,2023-03-17,100,1,539.53,0.0
63,749,2023-11-13,21,2,749.63,0.0
64,537,2023-11-12,94,7,874.98,0.1
65,511,2023-08-11,19,4,897.97,0.0
66,802,2023-02-05,96,7,578.34,0.1
67,579,2023-11-20,1,8,865.82,0.0
68,250,2023-10-27,51,7,268.69,0.0
69,920,2023-11-29,33,5,447.12,0.0
70,510,2023-03-31,26,1,228.07,0.1
71,630,2023-01-29,42,6,145.51,0.0
72,73,2023-06-25,54,7,671.48,0.0
73,282,2023-08-08,45,4,242.94,0.0
74,916,2023-05-16,27,3,569.54,0.0
75,960,2023-12-18,51,6,81.41,0.2
76,360,2023-06-24,28,3,173.59,0.0
77,10,2023-05-06,84,8,313.42,0.0
78,211,2023-06-20,8,5,401.28,0.1
79,835,2023-09-23,90,6,262.23,0.1
80,152,2023-05-14,31,3,725.78,0.0
81,5,2023-09-29,5,1,71.29,0.1
82,195,2023-01-26,11,1,560.19,0.0
83,954,2023-10-04,85,5,3721.0,0.2
84,283,2023-04-10,72,5,906.16,0.0
85,464,2023-12-28,26,1,633.49,0.0
86,113,2023-01-30,60,6,687.14,0.1
87,271,2023-05-13,46,9,704.12,0.0
88,163,2023-12-17,12,4,54155.99999999999,0.0
89,460,2023-05-19,13,8,120.74,0.2
90,105,2023-07-10,74,7,425.47,0.2
91,693,2023-07-06,93,6,751.54,0.0
92,556,2023-05-20,8,2,982.41,0.0
93,282,2023-11-16,42,9,315.11,0.1
94,687,2023-08-25,65,6,64139.0,0.0
95,162,2023-10-24,9,1,983.05,0.0
96,983,2023-07-19,4,5,578.61,0.0
97,351,2023-10-11,97,6,806.74,0.0
98,434,2023-03-21,55,8,59516.0,0.0
99,852,2023-09-16,85,4,43919.0,0.1
100,140,2023-04-11,71,9,679.49,0.0
101,471,2023-02-01,55,3,86436.0,0.0
102,132,2023-10-04,96,8,784.79,0.0
103,87,2023-05-01,57,2,877.98,0.0
104,688,2023-02-24,57,6,951.98,0.2
105,183,2023-01-18,39,1,747.87,0.0
106,368,2023-11-05,28,4,839.92,0.0
107,129,2023-05-01,26,9,270.57,0.0
108,246,2023-04-20,98,7,166.02,0.1
109,601,2023-11-27,73,4,391.22,0.0
110,578,2023-03-02,70,7,317.29,0.1
111,670,2023-09-21,22,3,419.91,0.0
112,899,2023-09-25,73,4,150.05,0.0
113,378,2023-10-24,45,1,426.34,0.0
114,149,2023-05-07,15,1,821.93,0.0
115,985,2023-05-17,65,4,6041.0,0.1
116,852,2023-03-19,96,9,261.85,0.0
117,433,2023-07-26,18,1,401.4,0.0
118,628,2023-07-03,11,2,584.76,0.0
119,726,2023-03-30,99,5,440.92,0.1
120,469,2023-11-16,97,7,43.42,0.2
121,446,2023-08-17,4,2,641.64,0.0
122,481,2023-03-05,34,7,715.43,0.1
123,884,2023-11-22,48,5,123.63,0.0
124,294,2023-02-24,83,6,2389.0,0.0
125,765,2023-10-20,48,3,558.46,0.0
126,143,2023-10-08,76,6,86816.0,0.0
127,250,2023-10-06,40,2,751.14,0.0
128,878,2023-07-07,59,5,506.87,0.0
129,948,2023-07-10,100,5,356.73,0.0
130,975,2023-09-30,48,6,35.09,0.1
131,302,2023-04-05,41,3,785.54,0.0
132,25,2023-03-31,22,2,234.75,0.0
133,789,2023-09-04,64,3,988.09,0.0
134,984,2023-03-16,76,4,8122.0,0.0
135,889,2023-03-03,49,8,889.75,0.0
136,890,2023-08-10,55,7,25451.0,0.0
137,901,2023-09-24,92,1,902.32,0.1
138,70,2023-05-01,15,7,441.74,0.0
139,625,2023-11-08,4,3,238.69,0.1
140,875,2023-11-05,8,4,116.08,0.3
141,112,2023-12-07,95,7,133.85,0.1
142,364,2023-01-28,60,2,942.63,0.0
143,303,2023-12-08,90,9,290.7,0.1
144,471,2023-10-29,3,5,972.36,0.2
145,964,2023-10-01,7,4,833.61,0.0
146,91,2023-01-23,79,9,741.69,0.0
147,530,2023-04-09,84,9,721.13,0.0
148,661,2023-10-12,17,2,891.44,0.2
149,988,2023-11-04,96,9,233.49,0.0
150,739,2023-04-20,10,1,904.65,0.0
151,726,2023-07-22,80,1,454.42,0.0
152,872,2023-04-16,26,6,755.8,0.0
153,663,2023-02-15,22,1,791.75,0.1
154,192,2023-09-14,15,6,839.4,0.0
155,963,2023-05-24,58,6,455.3,0.0
156,552,2023-01-25,60,9,260.21,0.0
157,242,2023-03-03,76,7,86905.0,0.0
158,138,2023-08-18,39,2,72.0,0.0
159,345,2023-03-23,3,1,579.76,0.0
160,180,2023-12-02,60,3,768.92,0.2
161,712,2023-07-30,53,2,877.65,0.0
162,503,2023-07-16,24,8,129.19,0.0
163,203,2023-12-13,55,4,47102.0,0.0
164,573,2023-07-17,2,3,695.34,0.3
165,192,2023-06-11,68,2,908.69,0.0
166,5,2023-07-27,23,1,634.47,0.0
167,890,2023-11-05,59,7,246.17,0.0
168,237,2023-02-13,57,2,145.84,0.0
169,693,2023-10-15,87,1,414.54,0.0
170,311,2023-10-06,72,6,178.75,0.0
171,549,2023-10-02,42,4,704.87,0.3
172,56,2023-08-09,12,3,53182.00000000001,0.0
173,443,2023-10-12,73,2,252.49,0.0
174,237,2023-05-26,75,6,622.22,0.0
175,870,2023-03-10,95,4,103.63,0.0
176,861,2023-05-20,1,6,633.94,0.0
177,197,2023-01-10,99,4,670.95,0.3
178,585,2023-04-21,54,9,26.7,0.0
179,571,2023-02-06,43,6,67426.0,0.3
180,752,2023-03-22,62,6,329.58,0.0
181,514,2023-04-06,15,9,56.87,0.1
182,449,2023-02-24,7,4,431.15,0.0
183,360,2023-05-12,28,8,365.21,0.0
184,700,2023-08-11,6,4,70541.0,0.0
185,819,2023-03-04,20,7,697.18,0.0
186,30,2023-01-12,88,9,439.04,0.0
187,779,2023-05-26,42,3,660.53,0.0
188,988,2023-09-21,100,5,857.11,0.0
189,108,2023-02-01,38,1,67.06,0.2
190,844,2023-02-18,62,4,158.21,0.0
191,935,2023-12-26,76,3,47288.0,0.1
192,602,2023-07-06,3,3,843.03,0.0
193,717,2023-12-09,28,6,511.23,0.0
194,891,2023-04-09,12,6,19103.0,0.0
195,968,2023-06-16,80,2,947.74,0.1
196,959,2023-11-02,44,6,231.8,0.2
197,960,2023-08-01,15,2,829.83,0.1
198,445,2023-07-18,55,2,99934.0,0.0
199,893,2023-09-03,95,9,614.38,0.0
200,438,2023-06-03,85,8,20130.0,0.0
201,732,2023-04-06,82,7,503.88,0.0
202,890,2023-03-04,48,1,682.58,0.1
203,606,2023-07-13,6,3,14719.0,0.0
204,457,2023-11-18,64,9,976.95,0.0
205,615,2023-12-25,81,7,957.73,0.0
206,735,2023-10-29,87,6,510.88,0.0
207,698,2023-09-29,35,7,817.82,0.0
208,981,2023-03-31,82,9,990.57,0.1
209,696,2023-11-24,11,9,672.04,0.0
210,495,2023-09-29,23,9,591.84,0.0
211,674,2023-03-26,57,6,612.34,0.0
212,247,2023-10-22,81,1,537.43,0.0
213,543,2023-02-05,70,4,905.85,0.0
214,564,2023-01-18,88,8,147.13,0.2
215,857,2023-03-18,37,5,486.52,0.0
216,588,2023-02-18,63,1,24.94,0.0
217,897,2023-12-25,80,6,891.97,0.1
218,439,2023-08-24,93,1,319.75,0.0
219,278,2023-02-13,29,1,478.15,0.0
220,552,2023-04-19,42,1,642.4,0.0
221,613,2023-05-09,28,7,130.44,0.1
222,111,2023-01-07,16,7,754.65,0.3
223,385,2023-10-31,67,8,512.52,0.0
224,833,2023-04-22,88,6,75.82,0.0
225,761,2023-08-01,18,6,160.49,0.1
